goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkSecretDecrypt-12       	  825207	      1382 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 2051348	       584.9 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  788335	      1531 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 1000000	      1127 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  510194	      2302 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretKDF-12           	 9657172	       123.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9357660	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9627703	       123.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9475752	       124.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9674250	       123.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9714489	       125.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9726814	       123.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9643725	       125.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9485991	       127.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9540021	       125.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateGA-12          	 8715734	       136.0 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8915689	       139.3 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8382553	       140.5 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8668470	       136.2 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8733430	       137.7 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8814631	       135.2 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8964930	       135.6 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8673127	       136.1 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateGA-12          	 8758507	       136.2 ns/op	     896 B/op	       3 allocs/op
